,x,y,layer,weight,clusterId,rho,NH,ClusterNumbers,isOutlier,isSeed,delta
0,-0.0035974143715263,-0.0496266856226421,0.0,15895.80511100819,1.0,3028335.484011017,inf,1.0,0.0,1.0,999.0
1,-0.0122561866183692,-0.0492193332638308,0.0,15895.03412306181,1.0,3028335.0985170435,0.0,0.0,0.0,0.0,0.008668348906621489
2,-0.0553295677310591,0.0033319491085521,0.0,15891.063196617091,1.0,3028333.113053821,1.0,0.0,0.0,0.0,0.06794816730023667
3,0.0349528159378592,-0.0610734727658072,0.0,15876.138922737668,1.0,3028325.6509168814,0.0,0.0,0.0,0.0,0.04021379356399486
4,0.0547204473768017,0.0500631784395513,0.0,15871.781673220514,1.0,3028323.4722921224,3.0,0.0,0.0,0.0,0.11288097489766546
5,0.0416630962795069,-0.0710268629622509,0.0,15861.627144131631,1.0,3028318.3950275783,3.0,0.0,0.0,0.0,0.012004075918877104
6,-0.0559294677020902,-0.0662209741512994,0.0,15855.817349503024,1.0,3028315.4901302643,1.0,0.0,0.0,0.0,0.046865886031143666
7,0.059651937496325,-0.0709876528999058,0.0,15847.22362433814,1.0,3028311.1932676816,5.0,0.0,0.0,0.0,0.01798888394961963
8,-0.092645448315922,-0.054403413928535,0.0,15823.903306604429,1.0,3028299.5331088146,6.0,0.0,0.0,0.0,0.0385709471241495
9,0.0290518706942042,0.1457566051767382,0.0,15740.682769067498,1.0,3028257.922840046,4.0,0.0,0.0,0.0,0.0990762723845409
10,-0.1521341106401022,-0.0143753510536764,0.0,15730.750076812868,1.0,3028252.9564939192,8.0,0.0,0.0,0.0,0.07170179051205047
11,-0.0364808589385912,-0.1549318540011385,0.0,15715.158456757032,1.0,3028245.1606838913,6.0,0.0,0.0,0.0,0.09081777682022524
12,0.0493702537272367,0.15317696793014,0.0,15710.712693757026,1.0,3028242.9378023907,9.0,0.0,0.0,0.0,0.021630960969617034
