,x,y,layer,weight,clusterId,rho
0,-0.212544810463426,-0.3125072669031246,0.0,499.9603248829972,2.0,142167.32986528843
1,0.5096637900754823,-0.362618231034081,0.0,499.8913314882258,2.0,141544.6899920834
2,-0.7774986373109019,0.5670411507383151,0.0,499.7428328804879,2.0,140719.2133796403
3,-0.3768921323276515,-1.0899474584867617,0.0,499.6306828119219,2.0,142110.30573034298
4,0.836766609606125,-1.1907416160050792,0.0,499.41200047168144,2.0,140632.31120825512
5,-1.4331093935805663,0.3434519658060871,0.0,499.3970966219532,2.0,141454.20926228483
6,0.8605837586348456,1.5627318044727572,0.0,499.1166880772278,1.0,140396.12616612558
7,0.108267672911365,1.9261959958779,0.0,498.96719235628746,2.0,138545.13409667424
8,2.157595229865348,-1.5307775702079922,0.0,498.05974736288033,1.0,140246.33468862795
9,1.937703784155037,-1.8312535532200551,0.0,498.02939752663,2.0,141214.31772921846
10,1.398512340428993,-2.512986813057585,0.0,497.7077871621887,2.0,141117.79744803716
11,2.783379257547085,-1.2006326551470765,0.0,497.45408187929365,1.0,138758.4902325687
12,-3.0066882122523286,0.4664678057308435,0.0,497.43500008480777,2.0,140329.1444058917
13,-3.1047480482696423,-0.0990225438359046,0.0,497.3268198235479,2.0,140725.84988286145
14,1.1547480012790072,-2.8877316184981296,0.0,497.3204179038317,2.0,139441.59230097802
15,1.4950168292718546,3.0293531066114565,0.0,496.840012359948,1.0,137545.5862834619
16,1.6609636129322063,-2.9682126499475245,0.0,496.7966702330236,2.0,140112.01530361283
17,-3.556751382548239,-0.7340279849117061,0.0,496.34970169807895,2.0,140382.8930850527
18,-3.38350310759137,1.37083252647497,0.0,496.311650337288,2.0,139122.52324985518
19,-3.153236109131041,-2.058774101103088,0.0,496.0761860209112,2.0,140443.19478645155
20,0.4450234635208656,3.9050096704638384,0.0,495.7274850419662,2.0,137737.4257579544
21,4.1065449006291095,-0.1731817857867988,0.0,495.329257392685,2.0,139568.23089640852
22,-0.0050866160440096,4.130794845010202,0.0,495.2825365706224,2.0,134975.808660647
23,-4.051468341920232,0.9369040572541856,0.0,495.2196140926312,2.0,140037.5388703175
24,3.887038899504102,1.5837368773748235,0.0,495.1301775385191,2.0,137349.47172432748
25,2.254062463726493,3.563700285262312,0.0,495.0852153204136,2.0,137581.18751686308
26,-1.6320155131370044,-3.948385321551464,0.0,494.9552824147611,2.0,138898.31311569703
27,-1.3679550933208164,4.116761342490626,0.0,494.7997248743924,2.0,135019.24951241026
28,-2.7164969951258238,3.382988699971357,0.0,494.7983659966976,1.0,135646.64637486226
29,3.3547018402817907,3.161619261145839,0.0,494.13196651433714,2.0,136279.0283438263
30,-4.0344116245912405,2.4018782360206345,0.0,493.9135987246001,2.0,135706.75438802748
31,1.630345054965131,-4.427388044533662,0.0,493.8548008015661,2.0,137702.3163605069
32,0.9757235821700088,-4.686542513658578,0.0,493.6748708822664,2.0,137063.1128972994
33,4.705803683456093,1.1716099902631651,0.0,493.509917506102,1.0,138062.17102150663
34,-4.806510429316996,0.9637293231533391,0.0,493.3689971086552,2.0,138651.73688722248
35,-2.833910292735877,4.054687987577637,0.0,493.2483487418363,2.0,133956.06368905632
36,-0.0057162387633286,4.975205796922756,0.0,493.1713084972776,2.0,135116.03217099764
37,4.749636133262695,1.5563395320291071,0.0,493.108698691773,2.0,138751.43526503976
38,-4.099526369081755,-2.8641518773432963,0.0,493.10096070178,2.0,138958.73181978802
39,-3.5698806674563506,-3.7663142586640697,0.0,492.5753519661421,2.0,136410.93564619526
40,-0.2925355043880975,5.214785901110983,0.0,492.4794738601666,2.0,135387.50284114643
41,2.1715728750659795,4.798690552002205,0.0,492.3526518987418,2.0,135133.34100472715
42,-0.8318845754847128,-5.280340973556612,0.0,492.1254362802075,2.0,137271.4745314334
43,-3.305310138349421,-4.220716268376433,0.0,492.080193390466,2.0,137191.38430859175
44,1.588456651865536,5.266177329137774,0.0,491.6658457950815,2.0,134162.8896932071
45,-3.649681356145148,4.279957790352516,0.0,491.2883928899501,2.0,131608.10506492996
46,5.409244995003795,1.9125806248514827,0.0,490.9392428005403,1.0,137145.45562819255
47,-5.400030905411069,1.940600168053173,0.0,490.9369608304801,1.0,134210.28898327914
48,5.761594170174511,-0.5775660216794941,0.0,490.7724462151392,1.0,137093.37509534633
49,-4.118656314542352,-4.260547166230643,0.0,490.34020014206726,2.0,136077.1427401573
50,3.849549495644861,-4.523832173996124,0.0,490.294301853432,2.0,138142.59072572677
51,-2.794907389096186,-5.278768700345819,0.0,490.1873156632215,2.0,135796.75945190384
52,4.590912259960964,-3.890567295043652,0.0,490.0413479214707,2.0,136401.6955848914
53,-4.010888429100048,-4.526747904171941,0.0,489.9418025066388,2.0,136042.86541269973
54,-5.8770123332938935,-1.5226008328592957,0.0,489.8658906311163,2.0,136250.15627288696
55,-6.038902197981789,0.6672335973181293,0.0,489.8506633407852,1.0,134946.1979203752
56,-1.2385314597387735,5.971985228995808,0.0,489.7731023580492,2.0,134295.99521718244
57,-4.1636384218220215,-4.511655143920658,0.0,489.6391543221176,2.0,135390.32115714904
